Number,Arabic,English
512,كِتَابٌ,book
513,كَفَرَ,Disbelieve
514,ضَلَّ,Dhul
515,قُلُوبُهُمْ,Their hearts
516,وَأَنَا,And I am
517,إِلَهٌ,Machine
518,أَيَّامٍ,days
519,يَتَّقُونَ,They fear
520,وَاعْلَمُوا,Know
521,جَهَنَّمُ,hell
522,وَاحِدَةً,one
523,يُؤْمِنُ,Believes
524,ذَا,That
525,حَسَنًا,Good
526,يَكُونُ,is being
527,الْعَزِيزِ,dear
528,عَظِيمٍ,great
529,فَقَالُوا,They said
530,اعْبُدُوا,Worship
531,فَاتَّقُوا,Fear
532,وَلَكُمْ,And for you
533,أَنْفُسَكُمْ,yourselves
534,يَدَيْهِ,He died
535,مِثْلَ,Such as
536,أَمْرًا,Age
537,الْجَحِيمِ,Hell
538,رَبُّنَا,Our Lord
539,الرَّسُولَ,Prophet
540,يَكُونَ,is being
541,أَعْمَالَهُمْ,Their works
542,حَرَّمَ,He forbade
543,حَقًّا,truly
544,بَعْدِهِمْ,After them
545,كَبِيرًا,Long
546,رَبِّنَا,Our Lord
547,وَقُلْ,Say
548,يَفْتَرُونَ,They break
549,لَهُوَ,fun
550,النَّبِيُّ,the Prophet
551,نَفْسِهِ,Himself
552,رَبَّهُمْ,Their Lord
553,أَنَّا,I
554,وَعْدَ,a promise
555,الْكَافِرُونَ,The disbelievers
556,الصَّادِقِينَ,The honest
557,الْقُرَى,The villages
558,تَذَكَّرُونَ,You remember
559,يَرْجِعُونَ,They return
560,خَلَقَكُمْ,You created you
561,أَوَّلَ,first
562,يَوْمًا,Day
563,يُحْيِي,Yahya
564,الْمَوْتَى,The death
565,عِيسَى,Jesus
566,سَمِعْنَا,we heard
567,أَحَدٍ,One
568,فِيهِمْ,Including
569,إِلَهًا,God
570,كَسَبَتْ,It was caught
571,أَحْسَنُ,Best
572,الْحَرَامِ,forbidden
573,أَوِ,or
574,جُنَاحَ,wing
575,أُولِي,first
576,الْأَلْبَابِ,The core
577,الْعِقَابِ,The punishment
578,أَكْبَرُ,Larger
579,الْعَظِيمُ,The great
580,أَجَلٍ,Yes
581,فَقُلْ,Say
582,فَكَيْفَ,How do you
583,تُتْلَى,It is recited
584,حَكِيمًا,Wise
585,الْفَوْزُ,the win
586,يَوْمُ,day
587,أَهْلَكْنَا,We are our people
588,تَدْعُونَ,You call
589,الْمَلَأُ,Palm
590,وَكُنَّا,We were
591,رَيْبَ,Ruba
592,رِزْقًا,Glossary
593,وَنَحْنُ,And we are
594,حِينٍ,when
595,نَفْسٌ,same
596,كُلُوا,Eat
597,إِنَّهَا,that it
598,فَإِنَّهُ,It is
599,وَهُدًى,And guided
600,لِلْمُؤْمِنِينَ,For the believers
601,تَقُولُوا,You say
602,أَظْلَمُ,I am darkened
603,اتَّخَذَ,Take
604,إِبْرَاهِيمُ,lbrahim
605,وَبِئْسَ,And misery
606,شَدِيدُ,Intense
607,فَمَنِ,Who is
608,قَبْلِهِ,Kiss
609,كَسَبُوا,Consider
610,الْحَيَاةُ,life
611,اتَّقَوْا,Fear
612,مَثَلُ,Such as
613,وَالْآخِرَةِ,And the hereafter
614,أَنَّى,that I
615,أَنْفُسِكُمْ,yourselves
616,يَسْتَطِيعُونَ,They can
617,يُظْلَمُونَ,They are wronged
618,بَشَرٌ,Bushter
619,أَنِّي,that I
620,إِلَهٍ,Machine
621,لِمَ,did not
622,وَهَذَا,and this is
623,كِتَابٍ,book
624,الصُّدُورِ,The breasts
625,وَقِيلَ,It was said
626,مَلَكَتْ,Malik
627,بَصِيرًا,I visited
628,الرَّسُولِ,Prophet
629,الْمُنَافِقِينَ,The hypocrites
630,عَلَيَّ,On
631,كُنْتُ,I was
632,أُخْرَى,Another
633,جَزَاءً,penalty
634,الْمُبِينُ,Senate
635,كَذِبًا,Lie
636,أَكْثَرَهُمْ,More
637,الْجِنِّ,Jin
638,أَحْسَنَ,Best
639,كَافِرُونَ,Kafrun
640,رَبَّكُمْ,Your Lord
641,وَالَّذِي,And that
642,أَفَمَنْ,Amen
643,قَبْلَهُمْ,Be before them
644,السَّمَاءُ,The sky
645,الْمَوْتِ,the death
646,بِهَذَا,by this
647,قُلْنَا,We said
648,خَوْفٌ,fear
649,نَفْسًا,Self
650,يَكْسِبُونَ,They gain
651,مُعْرِضُونَ,They are exposed
652,جَزَاءُ,penalty
653,قَدَّمَتْ,Submitted
654,بَيِّنَاتٍ,Senate
655,خَيْرٍ,Good
656,يَأْتِيَ,Come
657,سُبْحَانَهُ,Glory be to him
658,حَقَّ,right
659,عَذَابِ,torment
660,أُمَّةً,his mom
661,مُسْلِمُونَ,Muslims
662,أُوتِيَ,I missed
663,أَيْنَ,where
664,الْبَحْرِ,the sea
665,بِأَنَّ,That
666,أَنَّكُمْ,You are
667,تَكُونَ,Be
668,الْحِسَابِ,the account
669,أَزْوَاجًا,Groups
670,النِّسَاءِ,Women
671,بَعْضَ,some
672,اتَّقُوا,Fear
673,بِالْقِسْطِ,By installments
674,أَلِيمٍ,Em
675,وَإِنِّي,And I am
676,افْتَرَى,I avoided
677,وَأَطِيعُوا,And obey
678,بَلِ,but
679,أَلِيمًا,Amel
680,شَكٍّ,Doubt
681,أَوْحَيْنَا,We revealed
682,وَرَسُولُهُ,And his Messenger
683,وَأَنْتَ,And you
684,يَسْتَهْزِئُونَ,They are mocking
685,أَرَأَيْتُمْ,You saw
686,يُوحَى,Implies
687,أَنْزَلْنَاهُ,We revealed it
688,يُوسُفَ,Youssef
689,الْأُولَى,The first
690,كَذَّبَتْ,She lied
691,وَيْلٌ,Wall
692,كَمَثَلِ,the same as
693,آدَمَ,Adam
694,يَحْزَنُونَ,They are sad
695,لِقَوْمِهِ,His people
696,يَظْلِمُونَ,They oppress
697,ادْخُلُوا,Enter
698,وَاذْكُرُوا,And mention
699,فَلَوْلَا,If not
700,الْخَاسِرِينَ,The losers
701,يَفْعَلُونَ,They do
702,وَلَدًا,Blad
703,الدِّينَ,Religion
704,خَلَتْ,I was deleted
705,الرَّسُولُ,Prophet
706,وَالنَّهَارِ,And the day
707,كُتِبَ,Wrote
708,لَهُنَّ,their
709,إِنِ,that
710,تَتَّخِذُوا,Take you
711,آيَاتُ,Verses
712,فَانْظُرْ,Look
713,أُولُو,Awo
714,النَّهَارِ,The day
715,وَاذْكُرْ,And mention
716,فَوْقَ,above
717,بَيْنَنَا,Between us
718,أَحَدٌ,One
719,الْكَذِبَ,Lies
720,حَقٌّ,right
721,الْأَمْرِ,The matter
722,وَذَلِكَ,And that
723,السَّيِّئَاتِ,The bad things
724,مُبِينًا,Showed
725,وَلِيًّا,Wali
726,أَمْرُ,Command
727,يُرِيدُونَ,They want
728,يَفْقَهُونَ,They agree
729,وَكِيلًا,And the agent
730,الْحُسْنَى,Goodness
731,وَرَحْمَةً,And mercy
732,وَجَدْنَا,We found
733,السَّمَاءَ,The sky
734,آلِهَةً,God
735,أَلَيْسَ,Isn't it?
736,السَّاعَةُ,the hour
737,بَغْتَةً,Speaking
738,وَإِمَّا,Or
739,وَالْقَمَرَ,And the moon
740,رَحْمَتِهِ,His mercy
741,الْمَدِينَةِ,City
742,صَبَرُوا,Patience
743,الْمُجْرِمُونَ,The criminals
744,وَأَنَّهُ,And it is
745,يَكُونُوا,They are
746,عَذَابٍ,torment
747,لُوطٍ,Lot
748,سُبْحَانَ,Glory
749,الْقُرْآنِ,The Quran
750,أَدْرَاكَ,I know you
751,بِالْغَيْبِ,In the unseen
752,الْمُفْلِحُونَ,The two people
753,مَرَضٌ,illness
754,كُلَّمَا,whenever
755,بَعْضُكُمْ,some of you
756,وَأَنْزَلْنَا,And we sent down
757,يَكْفُرُونَ,They disbelieve
758,أَخَذْنَا,we took
759,يُؤْمِنُوا,They believe
760,فَرِيقٌ,Team
761,الْقُرْبَى,The nearby
762,مَعَهُمْ,With them
763,أَشْرَكُوا,Share
764,آيَةٍ,any
765,بِأَمْرِهِ,With his command
766,أَرْسَلْنَاكَ,We send you
767,أَهْوَاءَهُمْ,Their whims
768,الْعِلْمِ,Science
769,أَمِ,Mother
770,الْمَسْجِدِ,The mosque
771,وَاحِدٌ,One
772,دَابَّةٍ,A walking animal
773,نَزَّلَ,download
774,بَعِيدٍ,far
775,تَرَكَ,to leave
776,يُبَيِّنُ,Show
777,الْأَمْرُ,The matter
778,كَمْ,how much
779,الظُّلُمَاتِ,The darkness
780,شَدِيدٌ,Intense
781,بِعَذَابٍ,With torment
782,النَّهَارَ,The day
783,ابْنُ,Son
784,وَلَدٌ,Boy
785,بِآيَةٍ,A verse
786,طَائِفَةٌ,Sect
787,لِلْعَالَمِينَ,For the worlds
788,بِذَاتِ,Self
789,كِتَابًا,Book
790,رَبُّهُمْ,Their Lord
791,خَبِيرًا,An expert
792,فَلَمْ,film
793,نَصِيرًا,Nasser
794,يَسْتَوِي,It is equal
795,تَابَ,He repented
796,وَتَرَى,And see
797,الْبَرِّ,The righteousness
798,حِينَ,when
799,فَيَقُولُ,He says
800,سِحْرٌ,Charm
801,رَأَى,opinion
802,تُوعَدُونَ,You are promised
803,كَرِيمٌ,generous
804,آيَاتُنَا,Ayata
805,قُوَّةً,Energy
806,وَالنَّهَارَ,And the day
807,الْقَوْلُ,The saying
808,أَفَلَمْ,Well
809,السَّاعَةَ,the hour
810,الْيَمِينِ,right
811,لِلْمُكَذِّبِينَ,For the lies
812,وَمِمَّا,And what
813,يُوقِنُونَ,They are cursed
814,يُبْصِرُونَ,They see you
815,وَأَنْزَلَ,And he got off
816,الثَّمَرَاتِ,The fruits
817,النَّارَ,fire
818,وَبَشِّرِ,And good news
819,الْفَاسِقِينَ,The sinners
820,الْخَاسِرُونَ,The losers
821,تَكْفُرُونَ,You disbelieve
822,مُصَدِّقًا,Certifying
823,وَأَقِيمُوا,And evaluate
824,وَآتُوا,And they came
825,يُنْصَرُونَ,They are victorious
826,آلَ,The
827,سُجَّدًا,Included
828,بِالَّذِي,With that
829,وَعَمِلَ,And work
830,فَضْلُ,Fadl
831,هُزُوًا,Poor
832,بِبَعْضٍ,With one
833,الْحَيَاةَ,life
834,ابْنَ,Son
835,وَرُسُلِهِ,And his messengers
836,كَأَنَّهُمْ,As if
837,فِتْنَةٌ,Temptation
838,وَلِيٍّ,Guardian
839,جَاءَكَ,He came to you
840,الْمَوْتُ,the death
841,فِيكُمْ,You have
842,وَرَحْمَةٌ,And mercy
843,مَوْتِهَا,Her death
844,شَيْءٌ,something
845,بِي,with me
846,تُفْلِحُونَ,You can
847,يَرْجُونَ,They hope
848,عَلَيْهِنَّ,They are upon them
849,وَتِلْكَ,And that
850,فَمِنْهُمْ,From them
851,لِلظَّالِمِينَ,For those who are unjust
852,شَهِيدٌ,martyr
853,عَنَّا,Come on
854,جَاءَهُمُ,They came to them
855,الْبَلَاغُ,The notice
856,يَخْلُقُ,Creates
857,تَأْكُلُونَ,You eat
858,وَأَطِيعُونِ,And obey me
859,مَرْجِعُكُمْ,Your reference
860,شَدِيدًا,Strongly
861,عِلْمٌ,Science
862,فَذُوقُوا,So taste
863,سُلْطَانًا,Sultanate
864,الْآخِرَةَ,hereafter
865,أَجْرٌ,A reward
866,تَجِدَ,You find
867,يَقُولُوا,They say
868,مَعَكَ,With you
869,الْأَنْعَامِ,cattle
870,دَاوُودَ,Dawood
871,جَاءَتْهُمْ,They came
872,سَبِيلِهِ,His path
873,وَيَقُولُ,and say
874,جَنَّاتِ,Paradises
875,سَاءَ,He got off
876,تَكُونُ,Being
877,بَيْنِي,Between me
878,وَإِنَّهُمْ,And they are
879,الشَّمْسَ,the sun
880,أَسْأَلُكُمْ,I ask you
881,فَأَنَّى,I am
882,الْمُسْلِمِينَ,Muslims
883,وَيَا,And what
884,الْفُلْكِ,Ark
885,اسْتَكْبَرُوا,Take arrogance
886,رُسُلُهُمْ,Their messengers
887,مَعِيَ,with me
888,قَوْمُ,people
889,عَدْنٍ,Aden
890,أَمَّنْ,security
891,الْغَفُورُ,Forgiving
892,فَاصْبِرْ,Be patient
893,وَسَخَّرَ,He was mocked
894,أَإِذَا,So
895,الرِّزْقَ,The sustenance
896,الْجِبَالُ,Jabal
897,غَيْرِ,not
898,رَزَقْنَاهُمْ,We gave them
899,آمِنُوا,Believe
900,سَبْعَ,seven
901,مِنِّي,Mona
902,وَكَذَّبُوا,And they lied
903,ثَمَنًا,Then
904,هَادُوا,They guided
905,فَرِيقًا,Pure
906,الْمَوْتَ,the death
907,عَدُوًّا,An enemy
908,آيَاتٍ,Verses
909,وَاتَّبَعُوا,And follow
910,مِنْهُمَا,who are they
911,تَبَيَّنَ,It is clear
912,فَلَهُ,He has
913,يَحْكُمُ,Judged
914,يَخْتَلِفُونَ,They are disappeared
915,قَضَى,He spent
916,أَصْحَابِ,friends
917,رَبُّهُ,His Lord
